species,name_change,Split_species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,New_Data_Notes,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Ploceus nicolli,0,,Ploceus nicolli,Passeriformes,NT,No,Volant,29.8,22.2,Forest,Carnivore,Invertivore,-6.92,,18.1,11.3,4.8,6,18.8,83.8,18.4,64.6,49.2,Not threatened
Ploceus nigerrimus,0,,Ploceus nigerrimus,Passeriformes,LC,No,Volant,34.3,18.9,Woodland,Omnivore,Invertivore,0.17,,19.8,13.2,7,8.9,21.9,82.1,15.4,66.4,53.2,Not threatened
Ploceus nigricollis,0,,Ploceus nigricollis,Passeriformes,LC,No,Volant,27.1,15.4,Woodland,Carnivore,Invertivore,-0.31,,18,11.3,6.1,7.1,20.8,74.6,11.6,63.1,56,Not threatened
Ploceus nigrimentus,0,,Ploceus nigrimentus,Passeriformes,LC,No,Volant,26.6,19,Shrubland,Omnivore,Omnivore,-6.18,,21,12.6,5.8,8.5,26.9,87,16.5,70.5,66.5,Not threatened
Ploceus ocularis,0,,Ploceus ocularis,Passeriformes,LC,No,Volant,25.2,14.6,Woodland,Carnivore,Invertivore,-11.32,,20,13.1,5.3,6.8,21.6,73.6,10.6,62.2,59,Not threatened
Ploceus olivaceiceps,0,,Ploceus olivaceiceps,Passeriformes,NT,No,Volant,20.8,28.4,Woodland,Carnivore,Invertivore,-13.08,,18.2,11.1,4.6,5.5,19.5,81.8,23.3,58.7,44.6,Not threatened
Ploceus pelzelni,0,,Ploceus pelzelni,Passeriformes,LC,No,Volant,12.7,13.6,Wetland,Carnivore,Invertivore,-0.75,,16.4,10.1,4.3,4.9,19.2,62.7,8.5,54.1,43.6,Not threatened
Ploceus philippinus,0,,Ploceus philippinus,Passeriformes,LC,No,Volant,28.2,18.7,Shrubland,Herbivore,Granivore,19.05,,17.9,12.5,7.4,9.4,20.6,70.2,13.1,56.9,45.9,Not threatened
Ploceus preussi,0,,Ploceus preussi,Passeriformes,LC,No,Volant,31.6,23.7,Forest,Carnivore,Invertivore,2.79,,16.6,10,5,5.8,17.4,82,19.4,62.5,41,Not threatened
Ploceus princeps,0,,Ploceus princeps,Passeriformes,LC,Yes,Volant,31.2,20,Forest,Herbivore,Granivore,1.62,,23.4,15.1,6.9,9.2,23.4,84.8,16.9,67.6,52.8,Not threatened
