IUCN_name,Frequency_month,Survey_interval_days,Road_length_km,Survey_period_days,Latitude,Longitude,Country,Roadkill_rate_ind_km_y,Roadkillrate_corrected,AdultBodyMass_g_median,Home_range_Km2,longevity_y,Ageofmaturity_d,SocialGrpSize,Diet_Invertebrates,Diet_Vertebrates.ectotherms,Diet_Scavenger,Diet_Seed,Diet_Plant,Activity_1Diurnal_2Nocturnal,Litter_clutch_size,Litters_or_clutches_per_y,Diet_breadth,Artificial,Cropland,Grassland,Forest,Sparse.vegetation,Water.bodies,Habitat_breadth,Population.density_IndKm2,risk_category
Nasua nasua,12,2.333333333,59.6,730,-19.72597,-40.644482000000004,Brazil,0.008389262,0.010855705,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,low
Nasua nasua,4,7,63,242,-26.581324,-48.722133,Brazil,0.023940706,0.034881609,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,medium
Nasua nasua,672,0.041666667,366,1461,-24.866723,-50.445759,Brazil,0.038907777,0.038907777,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,medium
Nasua nasua,56,0.5,34,1461,-25.753,-54.54,Argentina,0.183697709,0.183697709,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,high
Nasua nasua,8,3.5,55,366,-18.232298,-50.431983,Brazil,0.108792846,0.158511177,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,high
Nectomys squamipes,56,0.5,34,1461,-25.753,-54.54,Argentina,0.007347908,0.007347908,0.19075,0.00155,2.658333333,216.619282428572,1,30,20,0,0,30,Nocturnal,4.4075,2.254,4,0,0,0,1,0,0,2,447.6473,low
Oligoryzomys flavescens,56,0.5,12,140,-21.98528,-47.871842,Brazil,0.651785714,0.651785714,0.0213,0.21376622,6.04608055579666,159.338310085714,1.4445,30,0,0,40,0,Nocturnal,4.5625,2.5826,3,0,1,1,0,1,0,5,615.453804444444,high
Orthogeomys hispidus,10,2.8,8,730,18.436503,-95.089337,Mexico,0.1875,0.2863125,0.5,0.13332256,11.139483333625,84.30772,2.25941818181818,0,0,0,0,100,Diurnal,1.9775,3.45931666666667,1,0,0,0,1,0,0,1,185.864897777778,high
Ozotoceros bezoarticus,4,7,100,365,-13.561588,-58.421854,Brazil,0.01,0.01457,34.6204,6.16,21.875,365,3.5,0,0,0,0,100,Nocturnal,1,1,1,0,1,1,0,1,0,5,3.66,low
Ozotoceros bezoarticus,9.3,3.010752688,136,547,-14.157535,-47.59415,Brazil,0.004906442,0.007148686,34.6204,6.16,21.875,365,3.5,0,0,0,0,100,Nocturnal,1,1,1,0,1,1,0,1,0,5,3.66,low
