IUCN_name,Median_RK_corrected,AdultBodyMass_g_median,Home_range_Km2,longevity_y,Ageofmaturity_d,SocialGrpSize,Diet_Invertebrates,Diet_Vertebrates.ectotherms,Diet_Scavenger,Diet_Seed,Diet_Plant,Activity_1Diurnal_2Nocturnal,Litter_clutch_size,Litters_or_clutches_per_y,Diet_breadth,Artificial,Cropland,Grassland,Forest,Sparse.vegetation,Water.bodies,Habitat_breadth,Population.density_IndKm2,risk_category
Herpailurus yagouaroundi,0.024022805,6.875,52.35,16.775,803.5104,1.5,10,0,0,0,0,Diurnal,2.42,2,3,0,1,1,1,1,0,8,20.1978815238095,low
Hydrochoerus hydrochaeris,0.057046678,48.14491,0.07,12,566.36,10,0,0,0,0,90,Diurnal,3.49,1,2,1,1,1,1,1,1,9,6.48,medium
Leopardus colocolo,0.0411761505,5,3.8,19.55,516.182793438572,1,0,0,0,0,0,Nocturnal,2.5,1,1,0,1,1,1,1,0,7,3.97897577777778,medium
Leopardus geoffroyi,0.082530693,4,5.56,23,479,3.48479487179487,0,10,0,0,0,Nocturnal,2.02,1.315,3,0,1,1,1,1,0,8,6.53960944444444,medium
Leopardus pardalis,0.014334444,11.88,5.08,24.76666667,663.5048,1,0,20,0,0,0,Nocturnal,1.66,1,3,0,1,1,1,1,0,8,0.102,low
Leopardus tigrinus,0.0462514315,2.25,2.9,21.79166667,821.25,1,0,0,0,0,0,Nocturnal,1.5,1.1,1,0,1,1,1,1,0,8,7.57662033333333,medium
Leopardus wiedii,0.017356645,3.27081,8.54,21,659,1,0,0,0,0,0,Nocturnal,1.5,1.06378333333333,2,0,1,1,1,1,0,8,5.9687351111110996,low
Lepus europaeus,0.062928858,3.74,0.31,10.65,227.66128,1.8865,0,0,0,0,100,Nocturnal,2.29,3.75,1,0,1,1,0,1,0,5,47.48,medium
Lontra longicaudis,0.007915064,6.55497,6.29,14.89166667,521.539367076667,1,10,0,0,0,0,Nocturnal,3.3925,1.1511,3,0,0,1,1,1,1,7,11.1807041111111,low
Lutreolina crassicaudata,0.02678125,0.5373,0.00143,2.954166667,182.64,2.28864285714286,20,20,0,0,0,Nocturnal,7.855,2,4,0,0,1,1,1,0,5,523.273566666667,low
Lycalopex gymnocercus,0.355182452,4.54267,2.68,13.7,304.18,4.57203571428571,0,20,0,0,20,Nocturnal,3.09,1.1,4,0,1,1,1,1,0,7,20.534979,high
Lycalopex sechurae,3.43586843,4.234,2.16235963333333,9.9,549.436595733333,1,10,30,0,0,10,Nocturnal,3.33115,1.4613,5,1,0,1,1,0,0,4,38.0224176666667,high
Lycalopex vetulus,0.071002002,4.23347,3.8,12.55833333,276.05452,2.489,10,30,0,0,10,Diurnal,3.2725,1.625,5,0,1,1,0,1,0,6,41.521479,medium
Marmosa murina,0.0197,0.03628,1.5835672,12,406.92,1,40,10,0,0,0,Nocturnal,6.95,2,5,1,1,0,1,1,0,6,509.452114015873,low
Mazama americana,0.03940037,22.79975,0.6095,13.81666667,380.116,1,0,0,0,20,80,Nocturnal,1.22,1,2,0,0,1,1,1,0,5,0.24,medium
Mazama gouazoubira,0.0562853075,16.63317,0.764,13.4,623.938,1,0,0,0,20,50,Nocturnal,1,1,3,0,0,1,1,1,0,5,3.16,medium
Mazama nana,0.022043725,16.49985,2.22678652,18.29,649.203258649206,3.406,0,0,0,20,80,Nocturnal,1.53092452380952,1.15893888888889,2,0,0,0,1,0,0,1,46.4856136587302,low
Metachirus nudicaudatus,0.0170967525,0.375,0.084,3,425.9916154,1,30,20,0,0,0,Nocturnal,4.435,1.55,5,0,0,0,1,1,0,4,22,low
Microsciurus flaviventer,0.035245663000000003,0.092,0.126281426666667,10.6818859724592,410.419167766667,2,0,0,0,50,0,Diurnal,2,2.0075125,2,0,0,0,1,0,0,1,385.079384603175,medium
Mus musculus,0.217261905,0.0193,5.16e-4,5,53.355,6.22625,20,0,0,20,60,Nocturnal,5.805,4.57,3,1,1,1,1,1,0,9,4000,high
Mustela frenata,0.121286546,0.170315,0.21,7.4,162.22388,1,0,0,0,0,0,Nocturnal,6.36,1,1,0,1,1,1,1,0,7,403.708477611111,high
Myocastor coypus,0.062329235,6.93745,0.02,8.483333333,159.789,7.5,0,0,0,0,100,Nocturnal,5.34,2.32,1,0,0,1,1,1,1,6,189.4712995,medium
Myrmecophaga tridactyla,0.08742,29.53183,4,26,1187.004,1,100,0,0,0,0,Nocturnal,1,1.17,1,0,1,1,1,1,0,6,0.2,high
Nasua nasua,0.0367548485,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,medium
Nectomys squamipes,0.007347908,0.19075,0.00155,2.658333333,216.619282428572,1,30,20,0,0,30,Nocturnal,4.4075,2.254,4,0,0,0,1,0,0,2,447.6473,low
Oligoryzomys flavescens,0.651785714,0.0213,0.21376622,6.04608055579666,159.338310085714,1.4445,30,0,0,40,0,Nocturnal,4.5625,2.5826,3,0,1,1,0,1,0,5,615.453804444444,high
Orthogeomys hispidus,0.2863125,0.5,0.13332256,11.139483333625,84.30772,2.25941818181818,0,0,0,0,100,Diurnal,1.9775,3.45931666666667,1,0,0,0,1,0,0,1,185.864897777778,high
Ozotoceros bezoarticus,0.010859343,34.6204,6.16,21.875,365,3.5,0,0,0,0,100,Nocturnal,1,1,1,0,1,1,0,1,0,5,3.66,low
Panthera onca,0.007347908,83.94309,52.55,23,906.15208,1,0,10,0,0,0,Nocturnal,1.98,0.5,3,0,0,1,1,0,1,4,0.02405,low
Philander frenatus,0.0115122715,0.467,0.04,3.5,216.665,1.19589285714286,30,20,0,0,0,Nocturnal,4.675,2.5,5,0,0,0,1,1,0,4,96.6161309523809,low
Philander opossum,0.04103437,0.51,0.00307,3.5,213.08,1,30,20,0,0,0,Nocturnal,4.675,2.5,5,0,1,0,1,1,0,5,95.74,medium
Potos flavus,0.018392005,2.44181,0.22,32,830.7777,1,10,0,0,0,0,Nocturnal,1.055,1,3,0,0,0,1,1,0,3,29.798340047619,low
Priodontes maximus,0.009574693,45.19,3.19,14,320,1,90,0,0,0,0,Nocturnal,1.5,1.28554166666667,2,0,1,1,1,1,0,6,1.6,low
Procyon cancrivorus,0.071930041,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,medium
Puma concolor,0.0099091255,51.60004,129.89,21.85416667,912,1,0,0,0,0,0,Nocturnal,2.76,0.47,1,0,1,1,1,1,0,8,0.06,low
Rattus norvegicus,0.045215212,0.28289,0.00293,5,78.78396,2.5745,30,0,0,40,10,Nocturnal,8.9225,3.68,4,1,1,1,1,1,0,9,981.323200000001,medium
Rattus rattus,0.209635568,0.2,0.00232,4.2,102.645,2.254,30,0,0,40,10,Nocturnal,5.915,4.28,4,1,1,1,1,1,0,8,1280,high
Saimiri sciureus,0.064964693,0.74947,0.68,27,1090.58878,34.85,20,0,0,20,20,Diurnal,1,1.07,5,0,0,0,1,0,0,1,22,medium
Sapajus apella,0.01040732,2.6425,0.88,45.08333333,1727.44808,7.9,20,0,0,20,20,Diurnal,1.05,0.6,6,0,0,0,1,0,0,2,13,low
Sapajus cay,0.05828,2.6425,0.88,45.08333333,1727.44808,7.9,20,0,0,20,20,Diurnal,1.05,0.6,6,0,0,0,1,0,0,1,13,medium
Sapajus libidinosus,0.026418529,2.68721,3,45.04166667,1727.44808,7.74904487179486,20,0,0,0,10,Diurnal,1.05,0.6,5,0,0,0,1,0,0,2,14.1,low
Sciurus aestuans,0.005135872,0.17734,0.107467596666667,8.066666667,249.442666780952,1,0,0,0,50,30,Diurnal,2.3,2.20994583333333,3,1,0,0,1,0,0,2,294.825166666667,low
Sciurus aureogaster,0.0954375,0.595,0.01,11.27916667,280.291303752381,1,0,0,0,50,30,Diurnal,1.97,1.88956666666667,3,1,1,0,1,0,0,3,136.234211111111,high
Sciurus granatensis,0.183582016,0.31844,0.00778,11.475,324.280946546667,1,0,0,0,50,30,Diurnal,1.915,1.95,3,1,0,0,1,0,0,2,50,high
Sciurus igniventris,0.067460058,0.7,0.127386606666667,11.9070256553577,396.1084539,1,0,0,0,50,30,Diurnal,2.20256,1.7577,3,0,0,0,1,0,0,1,69.8407882777778,medium
Sciurus stramineus,0.1520283055,0.4333,0.135579733333333,7.316666667,250.265929314286,1.3625,0,0,0,50,30,Diurnal,2.9862675,2.09574583333333,3,1,0,0,1,0,0,2,104.355533333333,high
Sciurus variegatoides,0.174720162,0.485,0.294376473333333,15.07916667,94.5,2.15283333333333,0,0,0,50,30,Diurnal,4.99,2.5074,3,0,1,0,1,1,0,4,143.507320777778,high
Speothos venaticus,0.024022805,6,4.6,10.33333333,319.598,4.5,0,0,0,0,0,Diurnal,3.965,2,1,0,0,1,1,1,0,5,0.04,low
Sylvilagus brasiliensis,0.044979712,0.96837,0.10030404,2,113.04906,1,0,0,0,0,100,Nocturnal,2.225,4.6,1,0,1,1,1,1,0,5,788.8185,medium
Sylvilagus floridanus,0.0972173125,1.178595,0.01,9,123,2.3555,0,0,0,0,100,Nocturnal,4.81,3.9,1,0,1,1,1,1,0,6,728.96,high
Tamandua mexicana,0.594089324,4.194255,0.22,9.5,365.116,1,100,0,0,0,0,Nocturnal,1,1.175,1,0,0,1,1,1,0,5,5,high
Tamandua tetradactyla,0.096867941,4.8,2.72,9.5,365.116,1,100,0,0,0,0,Nocturnal,1,1.35,1,0,0,1,1,1,0,6,0.39,high
Tapirus terrestris,0.026418529,207.50091,4.4,35,862.17,1,0,0,0,0,100,Nocturnal,1,1.02854714285714,1,0,0,1,1,1,0,5,0.4,low
