"IUCN_name","Frequency_month","Survey_interval_days","Road_length_km","Survey_period_days","Latitude","Longitude","Country","Roadkill_rate_ind_km_y","Roadkillrate_corrected","AdultBodyMass_g_median","Home_range_Km2","longevity_y","Ageofmaturity_d","SocialGrpSize","Diet_Invertebrates","Diet_Vertebrates.ectotherms","Diet_Scavenger","Diet_Seed","Diet_Plant","Activity_1Diurnal_2Nocturnal","Litter_clutch_size","Litters_or_clutches_per_y","Diet_breadth","Artificial","Cropland","Grassland","Forest","Sparse.vegetation","Water.bodies","Habitat_breadth","Population.density_IndKm2"
"Cerdocyon thous",8,3.5,55,366,-18.232298,-50.431983,"Brazil",0.380774963,0.554789121,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",28,1,180.4,1126,-22.307184,-43.130266,"Brazil",0.017968753,0.021490629,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",9.3,3.010752688,136,547,-14.157535,-47.59415,"Brazil",0.009812883,0.014297371,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",16,1.75,92,153,2.240471,-76.770907,"Colombia",0.025930662,0.033554277,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",4,7,115,365,-11.904988,-48.737133,"Brazil",0.12173913,0.177373912,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",8.33,3.361344538,107,90,4.390395,-73.297052,"Colombia",0.22741433,0.331342679,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",672,0.041666667,412,303,-26.07434,-49.744804,"Brazil",0.020466853,0.020466853,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",4,7,90,610,-25.54553,-48.78396,"Brazil",0.119672131,0.174362295,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",6,4.666666667,26,761,-28.170158,-52.314813,"Brazil",0.387395128,0.564434701,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",40,0.7,12,488,-22.246302,-47.839529,"Brazil",0.062329235,0.062329235,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",4,7,192,365,-19.278735,-48.122972,"Brazil",0.270833333,0.394604166,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",8,3.5,130,426,-7.167969,-35.367968,"Brazil",0.191133983,0.278482213,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
